ID,driverName,driverMobile,vehicleNumber,deliveryType,slotNumber_ID,checkInTime,vendor_Name
01c86fc4-2f91-11ef-9101-325096b39f47,Raju Kumar,555-123-4567,AP01 AB 1234,inbound,2e407c06-2f8f-11ef-b557-325096b39f47,2024-09-01,Subhash PVT LTD
01c8729e-2f91-11ef-9092-325096b39f47,Suresh Reddy,555-234-5678,AP02 CD 2345,outbound,2e407f44-2f8f-11ef-8b62-325096b39f47,2024-09-01,Subhash PVT LTD
01c87334-2f91-11ef-a329-325096b39f47,Venkatesh Rao,555-345-6789,AP03 EF 3456,inbound,2e407ff8-2f8f-11ef-881d-325096b39f47,2024-09-01,Subhash PVT LTD
01c87398-2f91-11ef-9162-325096b39f47,Krishna Babu,555-456-7890,AP04 GH 4567,outbound,2e40807a-2f8f-11ef-970d-325096b39f47,2024-09-01,Subhash PVT LTD
01c873fc-2f91-11ef-94d1-325096b39f47,Kiran Kumar,555-567-8901,AP05 IJ 5678,inbound,2e4080fc-2f8f-11ef-80b0-325096b39f47,2024-09-01,Subhash PVT LTD
01c8744c-2f91-11ef-96d4-325096b39f47,Ravi Teja,555-678-9012,AP06 KL 6789,outbound,2e4090ba-2f8f-11ef-969f-325096b39f47,2024-09-01,Subhash PVT LTD
01c8749c-2f91-11ef-a1d1-325096b39f47,Manoj Kumar,555-789-0123,AP07 MN 7890,inbound,2e409060-2f8f-11ef-961d-325096b39f47,2024-09-01,Subhash PVT LTD
01c874e2-2f91-11ef-ab89-325096b39f47,Srinivas Reddy,555-890-1234,AP08 OP 8901,outbound,2e408ebc-2f8f-11ef-9da1-325096b39f47,2024-09-01,Subhash PVT LTD
01c87546-2f91-11ef-a8c2-325096b39f47,Harish Chandra,555-901-2345,AP09 QR 9012,inbound,2e408df4-2f8f-11ef-827e-325096b39f47,2024-09-01,Subhash PVT LTD
01c875b4-2f91-11ef-aaa2-325096b39f47,Arun Prasad,555-012-3456,AP10 ST 0123,outbound,2e408d2c-2f8f-11ef-90cc-325096b39f47,2024-09-01,Subhash PVT LTD
